otu_id	kingdom	phylum	class	order	family	genus	species
OTU7741	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7742	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7747	Bacteria	Bacteroidetes					
OTU7748	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae		
OTU7749	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae		
OTU7750	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7753	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	
OTU7754	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7756	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	
OTU7757	Bacteria						
OTU7760	Bacteria	Proteobacteria	Betaproteobacteria				
OTU7761	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales			
OTU7762	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7763	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7765	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Cryobacterium	
OTU7767	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	
OTU7768	Bacteria	Proteobacteria					
OTU7771	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7772	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7773	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
OTU7774	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
OTU7775	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1	Clostridium sensu stricto 1	
OTU7776	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7781	Bacteria	Actinobacteria	Actinobacteria				
OTU7783	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
OTU7784	Bacteria						
OTU7788	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae		
OTU7789	Bacteria	Chlorobi	Chlorobia	Chlorobiales	SJA-28		
OTU7791	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7795	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae		
OTU7796	Bacteria	Bacteroidetes	Cytophagia	Cytophagales			
OTU7797	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	
OTU7798	Bacteria						
OTU7799	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Intrasporangiaceae	Phycicoccus	
OTU7800	Bacteria	Actinobacteria					
OTU7802	Bacteria	Proteobacteria	Betaproteobacteria				
OTU7803	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae		
OTU7805	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7806	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
OTU7808	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	
OTU7811	Bacteria	Proteobacteria	Betaproteobacteria				
OTU7814	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Rhodocytophaga	
OTU7815	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Dyadobacter	
OTU7821	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Sporocytophaga	
OTU7822	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae		
OTU7823	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hirschia	
OTU7825	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	
OTU7826	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales			
OTU7827	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7829	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales Incertae Sedis	Candidatus Alysiosphaera	
OTU7831	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Adhaeribacter	
OTU7833	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7837	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7839	Bacteria	Actinobacteria	Actinobacteria				
OTU7840	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
OTU7842	Bacteria						
OTU7843	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7844	Bacteria	Bacteroidetes	Cytophagia	Order II	Rhodothermaceae		
OTU7845	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU7846	Bacteria						
OTU7847	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	
OTU7851	Bacteria						
OTU7853	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7862	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae		
OTU7863	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	
OTU7871	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	
OTU7872	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7875	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7876	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7881	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales			
OTU7884	Bacteria	Tenericutes	Mollicutes	Mollicutes Incertae Sedis		Candidatus Phytoplasma	
OTU7886	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7887	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae		
OTU7889	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU7890	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7892	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7893	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Uliginosibacterium	
OTU7894	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	
OTU7896	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae		
OTU7899	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17		
OTU7901	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Sandaracinaceae		
OTU7902	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
OTU7903	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	env.OPS 17		
OTU7904	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae		
OTU7908	Bacteria						
OTU7909	Bacteria						
OTU7912	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7916	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	
OTU7919	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae		
OTU7920	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7921	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7923	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	
OTU7926	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae		
OTU7927	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	FFCH7168		
OTU7929	Bacteria	WCHB1-60					
OTU7932	Bacteria	Chloroflexi	Chloroflexia	Herpetosiphonales	Herpetosiphonaceae	Herpetosiphon	
OTU7935	Bacteria						
OTU7936	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae		
OTU7937	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales			
